CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Pattern,Group
HRV,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
CZE,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
HUN,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
KAZ,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
MDA,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
POL,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
ROM,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
RUS,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
SVK,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
SVN,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
LCA,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
UKR,[19293-64421857],[19724-66226377],[20198-68060071],[20710-69923357],[21253-71815164],[21822-73731369],[22419-75267305],[23043-76812479],[23679-78366306],[24304-79922296],[24902-81464683],[25464-82992261],[25996-84524649],[26518-86061054],[27066-87600777],[27662-89145034],[28320-90810675],[29030-92479950],[29781-94157479],[30548-95659612],[31313-96960865],[32065-98228786],[32816-99464693],[33586-100677781],[34407-102058393],[35299-103466989],[36277-104825013],[37328-106169956],[38422-107471421],[39510-108424260],[40554-108837430],[41448-109073667],[41685-109115423],[41881-108985461],[42075-108843023],[42296-108866238],[42551-108700578],[42831-108515107],[43116-108329743],[43375-107987645],[43591-107528575],[43586-107067618],[42184-106568907],[40791-106132766],[39448-105771150],[38184-105433013],[36998-105152847],[35874-105037426],[34772-105055515],[33660-105149982],[32730-105261473],[33077-105407907],[33374-105662789],[33652-105981289],[33932-106317178],[34232-106643169],acc,1
KHM,[6799-108085352],[7330-110327936],[7906-114685540],[8228-121162226],[8299-127791981],[8371-129348359],[8442-131746910],[8518-134196718],[8632-136747486],[8831-139527262],[9144-142386810],[9583-145443877],[10137-148131235],[10785-151552570],[11494-155688522],[12238-159452730],[13020-162497601],[13840-165293316],[14663-171153535],[15447-180399661],[16164-189947471],[16795-199949784],[17357-210823843],[17911-220472140],[18543-230206255],[19315-240414890],[20254-251325056],[21343-262976051],[22539-275121076],[23776-287504237],[25009-300165618],[26211-314301034],[27402-328521540],[28652-342961393],[30055-357836540],[31672-373035157],[33535-388593258],[35596-404485562],[37742-420606126],[39810-436766058],[41685-452999147],[43317-471767321],[44742-491993700],[46032-512473984],[47299-533257098],[48623-554367818],[50028-575118254],[51480-595670841],[52925-616481190],[54285-637407288],[55509-658498663],[56580-679766865],[57522-700862129],[58369-721691798],[59172-742299307],[59967-762590291],abd,2
QAT,[6799-108085352],[7330-110327936],[7906-114685540],[8228-121162226],[8299-127791981],[8371-129348359],[8442-131746910],[8518-134196718],[8632-136747486],[8831-139527262],[9144-142386810],[9583-145443877],[10137-148131235],[10785-151552570],[11494-155688522],[12238-159452730],[13020-162497601],[13840-165293316],[14663-171153535],[15447-180399661],[16164-189947471],[16795-199949784],[17357-210823843],[17911-220472140],[18543-230206255],[19315-240414890],[20254-251325056],[21343-262976051],[22539-275121076],[23776-287504237],[25009-300165618],[26211-314301034],[27402-328521540],[28652-342961393],[30055-357836540],[31672-373035157],[33535-388593258],[35596-404485562],[37742-420606126],[39810-436766058],[41685-452999147],[43317-471767321],[44742-491993700],[46032-512473984],[47299-533257098],[48623-554367818],[50028-575118254],[51480-595670841],[52925-616481190],[54285-637407288],[55509-658498663],[56580-679766865],[57522-700862129],[58369-721691798],[59172-742299307],[59967-762590291],abd,2
ARE,[6799-108085352],[7330-110327936],[7906-114685540],[8228-121162226],[8299-127791981],[8371-129348359],[8442-131746910],[8518-134196718],[8632-136747486],[8831-139527262],[9144-142386810],[9583-145443877],[10137-148131235],[10785-151552570],[11494-155688522],[12238-159452730],[13020-162497601],[13840-165293316],[14663-171153535],[15447-180399661],[16164-189947471],[16795-199949784],[17357-210823843],[17911-220472140],[18543-230206255],[19315-240414890],[20254-251325056],[21343-262976051],[22539-275121076],[23776-287504237],[25009-300165618],[26211-314301034],[27402-328521540],[28652-342961393],[30055-357836540],[31672-373035157],[33535-388593258],[35596-404485562],[37742-420606126],[39810-436766058],[41685-452999147],[43317-471767321],[44742-491993700],[46032-512473984],[47299-533257098],[48623-554367818],[50028-575118254],[51480-595670841],[52925-616481190],[54285-637407288],[55509-658498663],[56580-679766865],[57522-700862129],[58369-721691798],[59172-742299307],[59967-762590291],abd,2
BLZ,[6799-108085352],[7330-110327936],[7906-114685540],[8228-121162226],[8299-127791981],[8371-129348359],[8442-131746910],[8518-134196718],[8632-136747486],[8831-139527262],[9144-142386810],[9583-145443877],[10137-148131235],[10785-151552570],[11494-155688522],[12238-159452730],[13020-162497601],[13840-165293316],[14663-171153535],[15447-180399661],[16164-189947471],[16795-199949784],[17357-210823843],[17911-220472140],[18543-230206255],[19315-240414890],[20254-251325056],[21343-262976051],[22539-275121076],[23776-287504237],[25009-300165618],[26211-314301034],[27402-328521540],[28652-342961393],[30055-357836540],[31672-373035157],[33535-388593258],[35596-404485562],[37742-420606126],[39810-436766058],[41685-452999147],[43317-471767321],[44742-491993700],[46032-512473984],[47299-533257098],[48623-554367818],[50028-575118254],[51480-595670841],[52925-616481190],[54285-637407288],[55509-658498663],[56580-679766865],[57522-700862129],[58369-721691798],[59172-742299307],[59967-762590291],abd,2
CYM,[6799-108085352],[7330-110327936],[7906-114685540],[8228-121162226],[8299-127791981],[8371-129348359],[8442-131746910],[8518-134196718],[8632-136747486],[8831-139527262],[9144-142386810],[9583-145443877],[10137-148131235],[10785-151552570],[11494-155688522],[12238-159452730],[13020-162497601],[13840-165293316],[14663-171153535],[15447-180399661],[16164-189947471],[16795-199949784],[17357-210823843],[17911-220472140],[18543-230206255],[19315-240414890],[20254-251325056],[21343-262976051],[22539-275121076],[23776-287504237],[25009-300165618],[26211-314301034],[27402-328521540],[28652-342961393],[30055-357836540],[31672-373035157],[33535-388593258],[35596-404485562],[37742-420606126],[39810-436766058],[41685-452999147],[43317-471767321],[44742-491993700],[46032-512473984],[47299-533257098],[48623-554367818],[50028-575118254],[51480-595670841],[52925-616481190],[54285-637407288],[55509-658498663],[56580-679766865],[57522-700862129],[58369-721691798],[59172-742299307],[59967-762590291],abd,2
CHN,[6799-108085352],[7330-110327936],[7906-114685540],[8228-121162226],[8299-127791981],[8371-129348359],[8442-131746910],[8518-134196718],[8632-136747486],[8831-139527262],[9144-142386810],[9583-145443877],[10137-148131235],[10785-151552570],[11494-155688522],[12238-159452730],[13020-162497601],[13840-165293316],[14663-171153535],[15447-180399661],[16164-189947471],[16795-199949784],[17357-210823843],[17911-220472140],[18543-230206255],[19315-240414890],[20254-251325056],[21343-262976051],[22539-275121076],[23776-287504237],[25009-300165618],[26211-314301034],[27402-328521540],[28652-342961393],[30055-357836540],[31672-373035157],[33535-388593258],[35596-404485562],[37742-420606126],[39810-436766058],[41685-452999147],[43317-471767321],[44742-491993700],[46032-512473984],[47299-533257098],[48623-554367818],[50028-575118254],[51480-595670841],[52925-616481190],[54285-637407288],[55509-658498663],[56580-679766865],[57522-700862129],[58369-721691798],[59172-742299307],[59967-762590291],abd,2
MLT,[6799-108085352],[7330-110327936],[7906-114685540],[8228-121162226],[8299-127791981],[8371-129348359],[8442-131746910],[8518-134196718],[8632-136747486],[8831-139527262],[9144-142386810],[9583-145443877],[10137-148131235],[10785-151552570],[11494-155688522],[12238-159452730],[13020-162497601],[13840-165293316],[14663-171153535],[15447-180399661],[16164-189947471],[16795-199949784],[17357-210823843],[17911-220472140],[18543-230206255],[19315-240414890],[20254-251325056],[21343-262976051],[22539-275121076],[23776-287504237],[25009-300165618],[26211-314301034],[27402-328521540],[28652-342961393],[30055-357836540],[31672-373035157],[33535-388593258],[35596-404485562],[37742-420606126],[39810-436766058],[41685-452999147],[43317-471767321],[44742-491993700],[46032-512473984],[47299-533257098],[48623-554367818],[50028-575118254],[51480-595670841],[52925-616481190],[54285-637407288],[55509-658498663],[56580-679766865],[57522-700862129],[58369-721691798],[59172-742299307],[59967-762590291],abd,2
